TSNE_1,TSNE_2,Cluster,Income,TotalSpending,Age,Recency
30.714474,16.010548,2,58138.0,1617,57,58
-31.241028,29.435057,0,46344.0,27,60,38
33.02391,8.593563,2,71613.0,776,49,26
-39.625443,-17.823606,0,26646.0,53,30,26
-14.389684,-17.11191,0,58293.0,422,33,94
16.402813,8.467318,3,62513.0,716,47,16
0.4288432,8.260554,3,55635.0,590,43,34
-35.79922,-22.7322,0,33454.0,169,29,32
-38.89348,-8.1496315,0,30351.0,46,40,19
52.14834,-38.144886,0,5648.0,49,64,68
-41.06104,-17.75779,0,51381.5,19,31,11
-42.072277,1.694624,0,7500.0,61,38,59
36.540348,28.729702,2,63033.0,1102,55,82
0.8597902,21.331955,3,59354.0,310,62,53
-48.57889,-25.351976,0,17323.0,46,27,38
22.474981,-27.217487,1,82800.0,1315,68,23
-26.062693,-15.942449,0,41850.0,96,34,51
11.783912,31.113997,3,37760.0,317,68,20
18.128592,-20.319246,2,76995.0,1782,65,91
-60.053642,-12.609273,0,33812.0,133,29,86
-15.547447,-12.4225025,0,37040.0,316,32,41
43.635563,-4.5293107,2,2447.0,1730,35,42
6.315121,-29.39332,3,58607.0,972,65,63
6.2254734,28.713543,3,65324.0,544,60,0
1.4471955,1.8450704,3,40689.0,444,63,69
-56.722298,2.5062945,0,18589.0,75,45,89
-12.875132,1.6447417,0,53359.0,257,38,4
28.938269,10.335173,2,51381.5,637,28,19
-47.00719,-20.87099,0,38360.0,131,25,26
26.16524,-13.67179,2,84618.0,1672,49,96
-48.71744,-25.78563,0,10979.0,30,25,34
-8.661681,30.903955,0,38620.0,318,51,56
4.5162287,-32.6961,0,40548.0,120,44,31
4.7054663,26.962273,3,46610.0,302,62,8
30.432602,27.185976,2,68657.0,1196,68,4
-27.542595,22.623987,0,49389.0,65,63,55
13.282771,7.6695566,3,67353.0,913,44,37
-25.16754,-19.938326,0,23718.0,81,38,76
-14.883776,31.411041,0,42429.0,67,41,99
48.076614,-28.488682,2,48948.0,902,71,53
36.139656,10.476242,2,80011.0,1395,34,3
-58.30646,-15.608454,0,20559.0,53,29,88
-15.175485,42.68324,0,21994.0,22,57,4
-9.877259,32.487755,0,51381.5,186,55,80
-34.939693,-8.846413,0,7500.0,31,39,19
44.68845,14.054614,2,79941.0,984,38,72
-35.683308,-25.354307,0,7500.0,122,18,24
-51.68521,1.374144,0,41728.0,55,46,92
-23.976143,17.505743,0,51381.5,124,63,96
3.846745,-4.621797,3,72550.0,1319,60,39
5.582132,33.886032,3,65486.0,507,57,29
34.67087,18.540804,2,79143.0,1693,50,2
-46.688015,-8.69553,0,35790.0,72,37,54
38.797897,-28.431293,1,82582.0,1617,37,54
-3.4856427,-7.751943,3,66373.0,606,36,57
29.682419,-21.469862,2,82384.0,1957,59,55
38.72808,11.250427,2,70287.0,1093,48,30
-47.272057,-20.697775,0,27938.0,29,26,31
-50.24213,-13.068773,0,51381.5,46,32,57
5.599281,14.29139,3,55954.0,518,46,63
19.986715,-32.912037,1,75777.0,1438,32,12
-0.61971396,10.1501465,3,66653.0,612,39,18
17.847918,15.483967,3,61823.0,884,62,26
6.5748672,28.759449,3,67680.0,606,63,8
32.11076,26.399445,2,70666.0,1076,66,29
-50.970486,-1.4973438,0,25721.0,34,43,75
-38.165573,26.081081,0,32474.0,11,47,0
39.985325,-25.52859,1,88194.0,1274,35,19
21.835945,24.070837,3,69096.0,653,56,4
8.735033,-2.7677681,3,74854.0,1562,44,90
30.61993,29.099228,2,66991.0,1253,60,1
-31.220724,-11.03307,0,51381.5,109,41,25
20.983847,12.231345,3,65031.0,863,55,29
4.2462544,-25.193403,3,60631.0,661,39,88
-10.812464,41.513714,0,28332.0,65,62,58
-50.62983,-4.984855,0,40246.0,13,37,68
41.038002,8.576572,2,75251.0,1890,42,34
43.471355,-25.587385,2,75825.0,2209,38,40
-14.25984,-44.096954,0,26326.0,18,38,12
53.530487,-29.777706,3,56046.0,692,49,9
-24.740282,-23.105278,0,29760.0,165,29,87
-37.12461,-7.35985,0,26304.0,16,45,5
-50.85573,3.0201225,0,23559.0,79,41,87
-8.661671,30.903954,0,38620.0,318,51,56
44.22812,4.57195,2,81361.0,778,27,18
-27.921944,16.008383,0,29440.0,56,54,95
0.898641,-29.341278,0,36138.0,151,44,48
11.734771,-32.19031,3,50388.0,372,57,3
30.29266,-17.62118,2,79593.0,1366,41,70
-11.951642,31.5479,0,54178.0,194,47,79
2.6520498,-6.1196604,3,51381.5,603,57,4
-30.976894,20.98829,0,51381.5,18,57,45
41.47807,21.216671,2,51381.5,985,41,87
-48.68918,-2.6946776,0,42394.0,32,42,69
-49.771336,3.8665435,0,23626.0,43,44,84
-42.60037,-16.859215,0,30096.0,45,31,30
5.6651793,-27.706118,3,47916.0,606,54,72
-24.528786,2.4609094,0,51813.0,63,42,37
25.2833,-20.010382,2,78497.0,978,63,44
-14.091128,-11.1654,0,50150.0,410,31,32
-5.633467,27.42249,0,47823.0,72,54,0
-13.542305,38.91447,0,34554.0,55,55,43
31.132189,13.795158,2,85693.0,1169,35,59
33.87768,25.29158,2,65846.0,1120,69,68
42.572063,27.983294,2,87195.0,1097,55,35
-58.24485,-6.4753137,0,24594.0,29,35,94
-17.246067,3.3699455,0,49096.0,187,50,15
20.121983,11.738957,3,52413.0,910,45,56
-36.22349,-15.186551,0,38557.0,145,36,17
28.883305,28.581585,2,89058.0,850,54,18
34.67794,4.1894107,2,77298.0,969,35,46
13.365572,-26.380508,1,68126.0,1820,23,40
7.9481015,-30.622105,3,57288.0,608,51,27
17.492443,-32.91016,1,86037.0,730,23,95
-10.101584,-10.5410185,3,43974.0,551,34,19
-34.974945,23.727736,0,50785.0,114,52,27
29.088968,-28.352978,1,90765.0,1724,44,25
-9.011875,-15.229242,3,36550.0,577,36,74
-31.170256,12.535996,0,30753.0,81,47,85
-41.63657,-3.9422414,0,21918.0,33,45,37
13.949755,18.503567,3,56129.0,660,61,65
-32.963295,-5.9967294,0,32557.0,80,47,13
-55.340794,-17.563972,0,19510.0,30,29,63
-53.99293,-3.8225534,0,30992.0,43,38,83
25.222574,-33.03582,1,101970.0,1135,31,69
39.540062,21.26512,2,71488.0,559,49,87
43.909203,12.09284,2,79607.0,1923,30,37
-27.620647,23.435928,0,54348.0,90,61,51
2.161026,26.041037,3,51381.5,404,53,23
8.089836,17.313225,3,77376.0,661,58,72
19.097815,25.90731,3,62998.0,463,62,10
0.98434985,0.2988068,3,61331.0,632,56,42
33.022217,8.779339,2,73448.0,725,45,10
20.334763,16.757904,3,51381.5,725,51,96
-7.825461,-3.0171118,0,41551.0,279,50,51
13.714968,-24.292929,2,62981.0,1482,47,21
-43.075455,-13.213503,0,9548.0,29,38,31
-24.061886,11.289175,0,33762.0,106,55,61
55.10399,-39.70414,0,35860.0,49,41,37
-31.202946,15.589234,0,36921.0,38,49,74
44.812508,3.2298288,2,92859.0,2077,22,46
-1.3790706,11.045739,3,65104.0,1053,38,4
43.976685,24.695587,2,86111.0,1385,52,73
14.068304,8.590343,3,68352.0,871,40,47
-33.18598,-24.761555,0,41883.0,312,26,13
1.2690166,9.828852,3,59809.0,877,38,36
-46.0992,-6.4979877,0,23957.0,68,39,47
-14.285177,-43.775227,0,38547.0,22,33,49
-6.813763,-8.51865,0,35688.0,211,41,94
-10.671523,31.689945,0,49605.0,127,48,65
2.6122916,36.680084,3,59354.0,459,61,59
4.660943,-27.46972,3,65747.0,460,45,96
-4.5809264,7.8081503,3,46344.0,429,42,28
-36.14399,-20.186771,0,34176.0,89,26,12
9.965544,18.94023,3,61010.0,1021,62,57
18.240587,-30.419104,1,69372.0,1381,65,10
0.23649989,26.87226,3,49967.0,306,56,4
-30.247395,5.9747066,0,60199.0,18,36,49
-11.643362,24.697905,0,55375.0,162,37,3
38.602833,26.613676,2,80317.0,1231,59,64
-38.22966,28.697102,0,30523.0,13,56,0
22.292158,20.25739,3,70356.0,1706,69,20
-24.640652,-22.966974,0,23228.0,121,30,91
37.80807,3.4454465,2,74165.0,1293,39,9
43.669834,-4.45188,2,157243.0,1608,41,98
-27.957283,11.309541,0,43482.0,88,48,83
47.97146,-29.225765,3,62551.0,421,61,27
3.9542167,-32.026012,3,52332.0,259,55,63
45.571083,11.820154,2,66951.0,1117,26,46
-25.65167,17.04171,0,26091.0,89,57,84
-32.758663,17.233055,0,33456.0,36,49,58
-53.363216,-11.18159,0,28718.0,57,32,78
-32.561832,-6.5154123,0,50447.0,148,44,4
-35.915886,24.037197,0,53537.0,93,55,17
52.572712,-40.245552,0,52074.0,119,47,77
20.07497,4.9272037,2,80427.0,1835,39,56
20.658447,-26.697172,1,83837.0,1318,66,79
-31.922972,12.69535,0,38853.0,45,44,90
-28.053804,18.353998,0,38285.0,10,55,96
25.283152,-20.010323,2,78497.0,978,63,44
-13.477037,29.474838,0,51650.0,191,38,81
-58.48035,-14.526436,0,16248.0,57,26,77
24.48848,22.702026,2,66835.0,1033,68,21
-41.476635,-17.741217,0,30477.0,66,30,16
-19.07582,37.202034,0,28249.0,43,53,80
-47.197838,-15.922323,0,25271.0,50,31,45
-14.412535,34.88935,0,32303.0,39,44,63
9.863322,21.58451,3,61286.0,608,48,34
41.49062,7.4893603,2,74068.0,1581,38,14
-35.961533,25.268013,0,45759.0,68,50,13
58.94732,-40.199184,0,24882.0,80,36,52
50.23554,12.252571,2,66973.0,1282,25,98
-13.00243,-45.88069,0,36640.0,65,114,99
-59.47749,-15.188225,0,38872.0,91,26,93
-10.054064,-1.4993203,0,51148.0,315,41,38
-27.357426,0.84731597,0,31353.0,31,37,24
9.964408,9.899204,2,69661.0,834,34,80
24.830719,-15.4213915,2,80067.0,1600,60,82
32.942707,28.812658,2,86718.0,1270,60,20
53.27727,-35.72893,0,46854.0,263,41,81
6.9874473,-29.508749,3,69142.0,535,62,50
42.955654,14.928621,2,75922.0,1295,46,60
20.417759,3.7139812,2,63693.0,1150,36,63
25.631844,-33.335022,1,102160.0,1240,37,54
-31.670834,15.785561,0,40637.0,38,49,72
57.69698,-43.263462,0,18890.0,35,30,5
61.236168,-39.81111,0,29604.0,53,26,88
-5.985959,-1.9660152,3,48721.0,293,51,50
-13.150813,33.599968,0,44794.0,65,48,99
50.058815,-26.630985,3,64497.0,1804,60,17
3.2870133,29.501686,3,46097.0,241,58,11
28.018454,30.350359,2,77972.0,1101,60,18
-5.384743,-4.683448,3,44377.0,264,46,70
0.15050979,-6.303582,3,46014.0,541,40,21
46.862106,12.041125,2,70951.0,1198,29,66
-8.912271,-12.837557,3,41443.0,482,37,79
-29.3935,-1.5201185,0,52195.0,17,36,2
19.620443,-28.96414,1,83790.0,1615,66,81
-1.0902985,28.138525,3,44551.0,285,60,24
22.500341,3.8241196,3,69508.0,1135,34,48
-59.675785,-9.736749,0,45204.0,114,26,93
42.332348,21.580921,2,72460.0,1047,45,56
8.603206,29.229946,3,77622.0,714,44,3
-26.79508,-16.241291,0,30732.0,185,34,44
15.55056,3.7862842,3,63887.0,1245,52,38
-26.884726,-15.967145,0,42011.0,189,36,46
6.232534,9.646335,3,51369.0,576,38,84
7.858751,23.954609,3,51537.0,1103,62,27
45.31285,21.540318,2,79930.0,1753,42,72
-54.4189,-15.113252,0,34320.0,17,28,66
-1.0474851,-5.4953213,3,37070.0,433,48,30
23.444212,-20.777285,2,81975.0,1588,52,2
-47.575966,-2.15044,0,38590.0,22,43,65
-12.104237,42.777737,0,15033.0,19,63,37
12.392293,10.587223,3,62745.0,1117,49,89
-46.00375,-7.933138,0,22212.0,69,39,49
-46.098248,-15.894031,0,23661.0,23,32,46
6.8882437,33.738186,3,79761.0,605,56,32
-29.422674,-16.813854,0,7500.0,57,41,54
-7.155866,42.41088,3,60182.0,22,121,23
36.374332,-15.065908,2,73455.0,2088,46,98
35.098793,24.230932,2,64961.0,1009,56,97
-48.920303,0.26455286,0,22804.0,26,43,75
33.936905,-18.643091,2,73687.0,1627,24,8
14.248353,3.0720859,3,61074.0,1102,56,37
-34.79013,22.947348,0,31686.0,17,50,31
23.4691,-34.49462,1,80134.0,1690,42,40
23.332382,17.940535,3,75027.0,1390,61,74
48.988014,14.25353,2,67546.0,2126,26,90
26.905546,13.403262,2,65176.0,1531,45,57
-47.06058,-8.429114,0,31160.0,64,39,59
-50.350002,-15.126026,0,29938.0,26,29,52
12.309562,-51.904022,1,102692.0,1112,40,5
-10.2886095,36.4638,0,26490.0,210,56,92
9.032421,-2.2231517,3,75702.0,1148,47,77
-41.487835,-5.395875,0,30899.0,33,40,35
7.8989344,-28.31722,3,63342.0,1101,53,48
-5.694652,33.208656,3,45989.0,322,50,97
-27.569073,13.644224,0,18701.0,44,50,95
-37.833153,29.334723,0,40737.0,17,57,24
59.73202,-39.855694,0,15287.0,31,35,60
12.251978,6.6629815,3,69674.0,845,46,46
-20.672506,-12.616107,0,44159.0,275,44,85
-43.77164,-14.078363,0,37717.0,25,36,31
-15.257628,9.220971,3,43776.0,275,62,9
-18.584702,1.4249358,0,38179.0,90,48,30
44.881264,-25.862246,2,80124.0,1495,51,47
53.392086,-36.680298,0,38097.0,184,44,70
39.003212,13.952659,2,72940.0,981,44,13
-33.686802,-7.023416,0,22070.0,67,44,11
32.11362,25.756098,2,69267.0,1635,61,31
-13.740593,-43.44661,0,31788.0,60,31,15
-8.957167,20.114317,0,61905.0,231,39,2
-30.043022,24.36467,0,29315.0,48,54,55
-32.869217,23.832275,0,33378.0,99,51,38
9.79905,15.428712,3,66313.0,770,51,86
31.869806,15.985423,2,60714.0,957,58,56
42.56774,9.834115,2,77882.0,818,33,29
30.857382,-15.058003,2,69867.0,925,28,30
12.497629,13.57973,3,63841.0,908,46,64
-31.160975,-18.73861,0,24480.0,102,33,46
6.232534,9.646335,3,51369.0,576,38,84
11.783912,31.113997,3,37760.0,317,68,20
0.55116755,15.121946,3,65640.0,461,40,74
-23.790434,4.702292,0,44319.0,37,39,18
-53.20589,-5.0855308,0,30631.0,70,40,75
30.335472,24.256054,2,75278.0,930,62,17
6.897895,-4.2645583,3,50898.0,859,58,88
41.216553,14.583793,2,79946.0,1478,48,19
0.89689595,23.03736,3,35416.0,390,65,62
57.826263,-43.244392,0,32414.0,52,30,11
-48.8566,4.210084,0,38361.0,137,45,74
33.20922,-18.314074,2,82497.0,1919,34,32
-22.809067,-20.063578,0,16626.0,68,43,76
-37.72334,26.293182,0,29672.0,25,49,6
15.086993,-49.38407,1,55951.0,1374,62,62
-42.360813,-19.430506,0,35388.0,32,26,20
-39.189278,-23.37938,0,42386.0,100,28,43
49.23982,5.280366,2,68627.0,825,32,45
9.20088,-27.782522,3,57912.0,916,49,34
-29.60475,24.879267,0,35246.0,62,56,53
8.878634,21.590342,3,58821.0,728,58,44
-58.213974,-5.3218303,0,46377.0,90,36,89
-32.342365,-23.622633,0,39747.0,273,26,43
